NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Gm18735	1	ENSMUSG00000117077	
Gm18734	1	ENSMUSG00000092438	
Gchfr	1	ENSMUSG00000046814	
A830021M18Rik	1	ENSMUSG00000120875	
Slco5a1	1	ENSMUSG00000025938	
Gm8880	1	ENSMUSG00000081167	
Agtrap	1	ENSMUSG00000029007	
Gm18763	1	ENSMUSG00000117542	
Gm17430	1	ENSMUSG00000091285	
Noc3l	1	ENSMUSG00000024999	
Gm30409	1	ENSMUSG00000113257	
Gm7511	1	ENSMUSG00000113137	
Gm7514	1	ENSMUSG00000110355	
Gpnmb	1	ENSMUSG00000029816	
Gm7516	1	ENSMUSG00000100561	
Fetub	1	ENSMUSG00000022871	
Htt	1	ENSMUSG00000029104	
Gm8849	1	ENSMUSG00000043329	
Klkb1	1	ENSMUSG00000109764	
Gm7517	1	ENSMUSG00000115700	
Gm16104	1	ENSMUSG00000085327	
Gm17435	1	ENSMUSG00000097000	
Gm16103	1	ENSMUSG00000090243	
Ifi27l2b	1	ENSMUSG00000021208	
Shprh	1	ENSMUSG00000090112	
Ifi27l2a	1	ENSMUSG00000079017	
Slurp2	1	ENSMUSG00000075605	
Agps	1	ENSMUSG00000042410	
A830035O19Rik	1	ENSMUSG00000111329	
9330175E14Rik	1	ENSMUSG00000097194	
Gm29417	1	ENSMUSG00000100320	
Jam3	1	ENSMUSG00000031990	
Jam2	1	ENSMUSG00000053062	
Cx3cl1	1	ENSMUSG00000031778	
Noc2l	1	ENSMUSG00000095567	
AU020206	1	ENSMUSG00000097415	
Gm7525	1	ENSMUSG00000112698	
Dpys	1	ENSMUSG00000022304	
Sgo2a	1	ENSMUSG00000026039	
Timp1	1	ENSMUSG00000001131	
4930448A20Rik	1	ENSMUSG00000108382	
Gm7527	1	ENSMUSG00000117503	
Rad54l	1	ENSMUSG00000028702	
Timp3	1	ENSMUSG00000020044	
Timp2	1	ENSMUSG00000017466	
Ifitm1	1	ENSMUSG00000025491	
Timp4	1	ENSMUSG00000030317	
Ifitm2	1	ENSMUSG00000060591	
Ifitm3	1	ENSMUSG00000025492	
Tead3	1	ENSMUSG00000002249	
Ifitm6	1	ENSMUSG00000059108	
Tead2	1	ENSMUSG00000030796	
Tead1	1	ENSMUSG00000055320	
Akr1e1	1	ENSMUSG00000045410	
Lgr4	1	ENSMUSG00000050199	
Gm31718	1	ENSMUSG00000110697	
Lgr6	1	ENSMUSG00000042793	
Gzf1	1	ENSMUSG00000027439	
Rad54b	1	ENSMUSG00000078773	
Scaf1	1	ENSMUSG00000038406	
Scaf4	1	ENSMUSG00000022983	
Lbhd1	1	ENSMUSG00000096740	
Nutm1	1	ENSMUSG00000041358	
Jaml	1	ENSMUSG00000048534	
Arfgap3	1	ENSMUSG00000054277	
Arfgap2	1	ENSMUSG00000027255	
Arfgap1	1	ENSMUSG00000027575	
Agrp	1	ENSMUSG00000005705	
Agrn	1	ENSMUSG00000041936	
Ermard	1	ENSMUSG00000036552	
Gm16196	1	ENSMUSG00000086154	
4921504A21Rik	1	ENSMUSG00000097626	
Gm16193	1	ENSMUSG00000085672	
Ubtd1	1	ENSMUSG00000025171	
Ubtd2	1	ENSMUSG00000044949	
Fam207a	1	ENSMUSG00000032977	
Ifi209	1	ENSMUSG00000043263	
Ifi208	1	ENSMUSG00000066677	
Ifi207	1	ENSMUSG00000073490	
Ifi206	1	ENSMUSG00000037849	
Ifi205	1	ENSMUSG00000054203	
Ifi204	1	ENSMUSG00000073489	
Ifi203	1	ENSMUSG00000039997	
Impdh2-ps	1	ENSMUSG00000071041	
Lbhd2	1	ENSMUSG00000087075	
Htatsf1	1	ENSMUSG00000067873	
Uap1	1	ENSMUSG00000026670	
Il3ra	1	ENSMUSG00000068758	
Aagab	1	ENSMUSG00000037257	
Nanos3	1	ENSMUSG00000056155	
Anp32-ps	1	ENSMUSG00000069913	
Syap1	1	ENSMUSG00000031357	
Nanos1	1	ENSMUSG00000072437	
Hyi	1	ENSMUSG00000006395	
Rasgef1b	1	ENSMUSG00000089809	
Rasgef1a	1	ENSMUSG00000030134	
Rasgef1c	1	ENSMUSG00000020374	
1500011B03Rik	1	ENSMUSG00000072694	
Sppl2b	1	ENSMUSG00000035206	
Cspg5	1	ENSMUSG00000032482	
Sppl2a	1	ENSMUSG00000027366	
Cspg4	1	ENSMUSG00000032911	
Yjefn3	1	ENSMUSG00000048967	
LOC665443	1	ENSMUSG00000110533	
Ndc80	1	ENSMUSG00000024056	
Gm16166	1	ENSMUSG00000082936	
Gm16165	1	ENSMUSG00000089958	
Gm17494	1	ENSMUSG00000057359	
Gm16163	1	ENSMUSG00000090118	
Gm17491	1	ENSMUSG00000097042	
Gm16168	1	ENSMUSG00000089941	
Uckl1os	1	ENSMUSG00000010492	
Tfdp2	1	ENSMUSG00000032411	
Tfdp1	1	ENSMUSG00000038482	
Gm29478	1	ENSMUSG00000100341	
Gm42456	1	ENSMUSG00000105736	
Gm17484	1	ENSMUSG00000091514	
9330160F10Rik	1	ENSMUSG00000072809	
Gm16150	1	ENSMUSG00000085391	
Gm16159	1	ENSMUSG00000086134	
Gm30455	1	ENSMUSG00000121095	
Gm16157	1	ENSMUSG00000086628	
Cyb5a	1	ENSMUSG00000024646	
Cyb5b	1	ENSMUSG00000031924	
Chpf2	1	ENSMUSG00000038181	
Xndc1	1	ENSMUSG00000099481	
Nap1l4	1	ENSMUSG00000059119	
Nap1l5	1	ENSMUSG00000055430	
Kdsr	1	ENSMUSG00000009905	
Etf1	1	ENSMUSG00000024360	
Brsk2	1	ENSMUSG00000053046	
Nap1l1	1	ENSMUSG00000058799	
Nap1l2	1	ENSMUSG00000082229	
Brsk1	1	ENSMUSG00000035390	
Nap1l3	1	ENSMUSG00000055733	
Apoo-ps	1	ENSMUSG00000049233	
Gm16184	1	ENSMUSG00000089886	
Gm16185	1	ENSMUSG00000084911	
Gzma	1	ENSMUSG00000023132	
Aopep	1	ENSMUSG00000021458	
Psat1	1	ENSMUSG00000024640	
Gm16183	1	ENSMUSG00000086067	
Fam204a	1	ENSMUSG00000057858	
Cnppd1	1	ENSMUSG00000033159	
Mbtps1	1	ENSMUSG00000031835	
Mbtps2	1	ENSMUSG00000046873	
Gzmm	1	ENSMUSG00000054206	
Gm31786	1	ENSMUSG00000110665	
5430431A17Rik	1	ENSMUSG00000108322	
Ifi214	1	ENSMUSG00000070501	
Ifi213	1	ENSMUSG00000073491	
Ifi211	1	ENSMUSG00000026536	
2310015A10Rik	1	ENSMUSG00000097729	
Gm16177	1	ENSMUSG00000082484	
4930589L23Rik	1	ENSMUSG00000068957	
Msto1	1	ENSMUSG00000068922	
Gm16174	1	ENSMUSG00000087593	
Etfb	1	ENSMUSG00000004610	
Etfa	1	ENSMUSG00000032314	
Pten	1	ENSMUSG00000013663	
Gm31793	1	ENSMUSG00000112742	
Gm29485	1	ENSMUSG00000101413	
Pip5kl1	1	ENSMUSG00000046854	
Adpgk	1	ENSMUSG00000025236	
Pter	1	ENSMUSG00000026730	
Rngtt	1	ENSMUSG00000028274	
Gm41113	1	ENSMUSG00000119950	
Fbxl22	1	ENSMUSG00000050503	
M6pr-ps	1	ENSMUSG00000080832	
Myef2	1	ENSMUSG00000027201	
Tktl1	1	ENSMUSG00000031397	
Synpo2	1	ENSMUSG00000050315	
Tinf2	1	ENSMUSG00000007589	
9430092D12Rik	1	ENSMUSG00000102205	
Fbxl20	1	ENSMUSG00000020883	
Fbxl21	1	ENSMUSG00000035509	
Parvaos	1	ENSMUSG00000085049	
Uba52-ps	1	ENSMUSG00000061390	
Mboat7	1	ENSMUSG00000035596	
Nnat	1	ENSMUSG00000067786	
Cnbp	1	ENSMUSG00000030057	
Mboat4	1	ENSMUSG00000071113	
Mboat1	1	ENSMUSG00000038732	
Mboat2	1	ENSMUSG00000020646	
Zbed5-ps	1	ENSMUSG00000110424	
Gm6187	1	ENSMUSG00000101571	
Fubp1	1	ENSMUSG00000028034	
Fubp3	1	ENSMUSG00000026843	
2900060N12Rik	1	ENSMUSG00000113621	
Lonp2	1	ENSMUSG00000047866	
Lonp1	1	ENSMUSG00000041168	
Ift140	1	ENSMUSG00000024169	
Id2	1	ENSMUSG00000020644	
Id1	1	ENSMUSG00000042745	
Zfas1	1	ENSMUSG00000074578	
Id4	1	ENSMUSG00000021379	
Id3	1	ENSMUSG00000007872	
Gm6190	1	ENSMUSG00000113861	
Cisd2	1	ENSMUSG00000028165	
Cisd1	1	ENSMUSG00000037710	
Gm6192	1	ENSMUSG00000118220	
Gm6195	1	ENSMUSG00000046334	
Cisd3	1	ENSMUSG00000078695	
Gm6197	1	ENSMUSG00000104295	
Knstrn	1	ENSMUSG00000027331	
Pip4p2	1	ENSMUSG00000028221	
Pip4p1	1	ENSMUSG00000035953	
Ptk2	1	ENSMUSG00000022607	
Or5p58	1	ENSMUSG00000059031	
Tmprss6	1	ENSMUSG00000016942	
Tmprss4	1	ENSMUSG00000032091	
Tmprss9	1	ENSMUSG00000059406	
Etl4	1	ENSMUSG00000036617	
Ptk7	1	ENSMUSG00000023972	
Tmprss7	1	ENSMUSG00000033177	
Tincr	1	ENSMUSG00000110218	
Tmprss2	1	ENSMUSG00000000385	
9430060I03Rik	1	ENSMUSG00000100632	
Tmeff2	1	ENSMUSG00000026109	
Tmeff1	1	ENSMUSG00000028347	
Ide	1	ENSMUSG00000056999	
Dync1h1	1	ENSMUSG00000018707	
Gabpa	1	ENSMUSG00000008976	
Bcl2l11	1	ENSMUSG00000027381	
Bcl2l13	1	ENSMUSG00000009112	
4930512B01Rik	1	ENSMUSG00000020992	
Bcl2l12	1	ENSMUSG00000003190	
Ids	1	ENSMUSG00000035847	
Cdcp3	1	ENSMUSG00000006204	
Gfra1	1	ENSMUSG00000025089	
Pi4k2a	1	ENSMUSG00000025178	
Bcl2l15	1	ENSMUSG00000044165	
Gfra2	1	ENSMUSG00000022103	
Cdcp1	1	ENSMUSG00000035498	
Bcl2l14	1	ENSMUSG00000030200	
Ptma	1	ENSMUSG00000026238	
Gfra4	1	ENSMUSG00000027316	
Septin9	1	ENSMUSG00000059248	
Rab9b-ps1	1	ENSMUSG00000082464	
Septin8	1	ENSMUSG00000018398	
Septin7	1	ENSMUSG00000001833	
Septin6	1	ENSMUSG00000050379	
Lyzl4os	1	ENSMUSG00000084995	
Septin5	1	ENSMUSG00000072214	
Septin4	1	ENSMUSG00000020486	
Septin3	1	ENSMUSG00000022456	
Septin2	1	ENSMUSG00000026276	
Septin1	1	ENSMUSG00000000486	
Dync1i2	1	ENSMUSG00000027012	
Card10	1	ENSMUSG00000033170	
Card11	1	ENSMUSG00000036526	
B130055M24Rik	1	ENSMUSG00000086502	
Dync1i1	1	ENSMUSG00000029757	
Card14	1	ENSMUSG00000013483	
Card19	1	ENSMUSG00000037960	
Renbp	1	ENSMUSG00000031387	
4930592C13Rik	1	ENSMUSG00000105834	
B3galt2	1	ENSMUSG00000033849	
Aldh4a1	1	ENSMUSG00000028737	
C230096K16Rik	1	ENSMUSG00000106205	
B3galt1	1	ENSMUSG00000034780	
Gabrd	1	ENSMUSG00000029054	
Gabre	1	ENSMUSG00000031340	
Chn1os3	1	ENSMUSG00000086544	
Ahcy	1	ENSMUSG00000027597	
Wdr20rt	1	ENSMUSG00000035560	
Rpsa-ps1	1	ENSMUSG00000102117	
Rpsa-ps2	1	ENSMUSG00000045055	
Ptms	1	ENSMUSG00000030122	
Gabrp	1	ENSMUSG00000020159	
Pank3	1	ENSMUSG00000018846	
Rpsa-ps8	1	ENSMUSG00000117578	
Rpsa-ps9	1	ENSMUSG00000082895	
Pank2	1	ENSMUSG00000037514	
Ift172	1	ENSMUSG00000038564	
Pank4	1	ENSMUSG00000029056	
Rpsa-ps4	1	ENSMUSG00000081076	
Rpsa-ps5	1	ENSMUSG00000081695	
Clptm1l	1	ENSMUSG00000021610	
Pank1	1	ENSMUSG00000033610	
Rpsa-ps7	1	ENSMUSG00000117438	
Gm7452	1	ENSMUSG00000107310	
Gm8783	1	ENSMUSG00000094388	
Gm6123	1	ENSMUSG00000103922	
Gm8784	1	ENSMUSG00000113936	
4933407L21Rik	1	ENSMUSG00000026224	
Gm6125	1	ENSMUSG00000112823	
Gm6128	1	ENSMUSG00000114728	
Gm7459	1	ENSMUSG00000115730	
Ihh	1	ENSMUSG00000006538	
Gm6129	1	ENSMUSG00000113843	
Ets1	1	ENSMUSG00000032035	
Gm18821	1	ENSMUSG00000098761	
Rpp38	1	ENSMUSG00000049950	
Ets2	1	ENSMUSG00000022895	
Tinagl1	1	ENSMUSG00000028776	
Rpp30	1	ENSMUSG00000024800	
Gm31805	1	ENSMUSG00000110661	
Rpl21-ps11	1	ENSMUSG00000105144	
Rpl21-ps10	1	ENSMUSG00000105359	
Rpl21-ps13	1	ENSMUSG00000056777	
Gtf2f2	1	ENSMUSG00000067995	
Rpl21-ps12	1	ENSMUSG00000058700	
Gtf2f1	1	ENSMUSG00000002658	
Rpl21-ps15	1	ENSMUSG00000083596	
Gm7461	1	ENSMUSG00000048484	
Rpl21-ps14	1	ENSMUSG00000062152	
Gm6133	1	ENSMUSG00000090451	
Gm7464	1	ENSMUSG00000117425	
Gm8797	1	ENSMUSG00000103034	
Gm7463	1	ENSMUSG00000106889	
Gm7466	1	ENSMUSG00000117359	
Gm6134	1	ENSMUSG00000094189	
Gm8795	1	ENSMUSG00000114477	
Gm6136	1	ENSMUSG00000084106	
Gm7467	1	ENSMUSG00000098449	
Gm6139	1	ENSMUSG00000057244	
Rpp21	1	ENSMUSG00000024446	
Gm18813	1	ENSMUSG00000115649	
Rpp25	1	ENSMUSG00000062309	
mt-Atp6	1	ENSMUSG00000064357	
Ptpa	1	ENSMUSG00000039515	
Sphk2	1	ENSMUSG00000057342	
Cramp1	1	ENSMUSG00000038002	
Gm31812	1	ENSMUSG00000109599	
Sphk1	1	ENSMUSG00000061878	
Gm31814	1	ENSMUSG00000115869	
B3galt6	1	ENSMUSG00000050796	
0610038B21Rik	1	ENSMUSG00000097882	
Maneal	1	ENSMUSG00000042763	
B3galt5	1	ENSMUSG00000074892	
B3galt4	1	ENSMUSG00000067370	
Gm6140	1	ENSMUSG00000104141	
Gtf2e1	1	ENSMUSG00000022828	
B3galt9	1	ENSMUSG00000107167	
Gm6142	1	ENSMUSG00000084304	
Gm6141	1	ENSMUSG00000084339	
Gtf2e2	1	ENSMUSG00000031585	
Gm6100	1	ENSMUSG00000095202	
Or14m1-ps1	1	ENSMUSG00000102510	
Lhfp	1	ENSMUSG00000048332	
Cnmd	1	ENSMUSG00000022025	
Gm7432	1	ENSMUSG00000109610	
Gm6104	1	ENSMUSG00000062588	
Gm8767	1	ENSMUSG00000111001	
Gm7435	1	ENSMUSG00000111662	
Gm7434	1	ENSMUSG00000109241	
Gm7436	1	ENSMUSG00000101464	
Gm6108	1	ENSMUSG00000109104	
Uba5	1	ENSMUSG00000032557	
Uba6	1	ENSMUSG00000035898	
Large1	1	ENSMUSG00000004383	
Large2	1	ENSMUSG00000040434	
Uba7	1	ENSMUSG00000032596	
Gm6109	1	ENSMUSG00000113237	
A330074K22Rik	1	ENSMUSG00000097960	
Il2	1	ENSMUSG00000027720	
Gm17511	1	ENSMUSG00000090460	
Il4	1	ENSMUSG00000000869	
Il6	1	ENSMUSG00000025746	
mt-Atp8	1	ENSMUSG00000064356	
Il7	1	ENSMUSG00000040329	
Gm17518	1	ENSMUSG00000120489	
Gm18849	1	ENSMUSG00000099432	
Gtf2h2	1	ENSMUSG00000021639	
Gtf2h1	1	ENSMUSG00000006599	
Gtf2h4	1	ENSMUSG00000001524	
Gtf2h3	1	ENSMUSG00000029387	
Trhde	1	ENSMUSG00000050663	
Gtf2h5	1	ENSMUSG00000034345	
Gm7442	1	ENSMUSG00000106182	
Gm8774	1	ENSMUSG00000107733	
Gm8775	1	ENSMUSG00000091223	
Panx2	1	ENSMUSG00000058441	
Gm8773	1	ENSMUSG00000073234	
Gm7443	1	ENSMUSG00000108525	
Panx1	1	ENSMUSG00000031934	
Pi4k2b	1	ENSMUSG00000029186	
Gm8778	1	ENSMUSG00000079223	
Gm7446	1	ENSMUSG00000113258	
Gm7445	1	ENSMUSG00000104504	
Gm6116	1	ENSMUSG00000072874	
Gm6119	1	ENSMUSG00000102175	
Gm17501	1	ENSMUSG00000097183	
Zc3hc1	1	ENSMUSG00000039130	
Cnn1	1	ENSMUSG00000001349	
Cnn2	1	ENSMUSG00000004665	
Cnn3	1	ENSMUSG00000053931	
Ahi1	1	ENSMUSG00000019986	
Srp14	1	ENSMUSG00000009549	
Gm17509	1	ENSMUSG00000091423	
Uba1	1	ENSMUSG00000001924	
Uba2	1	ENSMUSG00000052997	
Rpp40	1	ENSMUSG00000021418	
Uba3	1	ENSMUSG00000030061	
Crls1	1	ENSMUSG00000027357	
Srp19	1	ENSMUSG00000014504	
Gm7450	1	ENSMUSG00000116940	
Gm6166	1	ENSMUSG00000074280	
Gm7497	1	ENSMUSG00000098235	
Mkks	1	ENSMUSG00000027274	
Gm7498	1	ENSMUSG00000108142	
Gm6169	1	ENSMUSG00000057762	
mt-Co1	1	ENSMUSG00000064351	
Ilk	1	ENSMUSG00000030890	
4930578M01Rik	1	ENSMUSG00000097587	
Gm6170	1	ENSMUSG00000100078	
Gm6175	1	ENSMUSG00000081886	
Gm6177	1	ENSMUSG00000057499	
Nnmt	1	ENSMUSG00000032271	
Prps1l3	1	ENSMUSG00000079104	
Etv1	1	ENSMUSG00000004151	
Cx3cr1	1	ENSMUSG00000052336	
Etv4	1	ENSMUSG00000017724	
Etv3	1	ENSMUSG00000003382	
Etv6	1	ENSMUSG00000030199	
Etv5	1	ENSMUSG00000013089	
Gtf2a1	1	ENSMUSG00000020962	
Gtf2a2	1	ENSMUSG00000033543	
F630040K05Rik	1	ENSMUSG00000097727	
9630014M24Rik	1	ENSMUSG00000118257	
Tarsl2	1	ENSMUSG00000030515	
Gm6180	1	ENSMUSG00000053038	
Gm6181	1	ENSMUSG00000074092	
Gm6184	1	ENSMUSG00000081674	
Ina	1	ENSMUSG00000034336	
Ptp4a3	1	ENSMUSG00000059895	
Mcm3ap	1	ENSMUSG00000001150	
Ptp4a1	2	ENSMUSG00000026064:ENSMUSG00000117310	
Sapcd2	1	ENSMUSG00000026955	
Ptp4a2	1	ENSMUSG00000028788	
Gm6145	1	ENSMUSG00000110080	
Gm7476	1	ENSMUSG00000112605	
Sapcd1	1	ENSMUSG00000036185	
Gm7478	1	ENSMUSG00000107327	
Rpp14	1	ENSMUSG00000023156	
Ifnar1	1	ENSMUSG00000022967	
Nostrin	1	ENSMUSG00000034738	
Il4i1	1	ENSMUSG00000074141	
Rep15	1	ENSMUSG00000040121	
Ifnar2	1	ENSMUSG00000022971	
Gm7482	1	ENSMUSG00000108700	
Gm6153	1	ENSMUSG00000090994	
Gm6152	1	ENSMUSG00000086195	
Gm6155	1	ENSMUSG00000068629	
Fbxl12	1	ENSMUSG00000066892	
Gm7488	1	ENSMUSG00000039617	
Fbxl13	1	ENSMUSG00000048520	
Gm6157	1	ENSMUSG00000105687	
Fbxl14	1	ENSMUSG00000030019	
9130023H24Rik	1	ENSMUSG00000062944	
Gm6159	1	ENSMUSG00000099377	
Fbxl15	1	ENSMUSG00000025226	
Gm6158	1	ENSMUSG00000090381	
Fbxl16	1	ENSMUSG00000025738	
Fbxl17	1	ENSMUSG00000023965	
Fbxl18	1	ENSMUSG00000066640	
Fbxl19	1	ENSMUSG00000030811	
Cnr1	1	ENSMUSG00000044288	
Cnr2	1	ENSMUSG00000062585	
Reno1	1	ENSMUSG00000075389	
Ptx3	1	ENSMUSG00000027832	
Retnlg	1	ENSMUSG00000022651	
Gm7493	1	ENSMUSG00000066693	
Gm6161	1	ENSMUSG00000081441	
Gm7492	1	ENSMUSG00000106853	
Flicr	1	ENSMUSG00000039545	
Phf5a	1	ENSMUSG00000061360	
Wdr91	1	ENSMUSG00000058486	
Erbb2	1	ENSMUSG00000062312	
Wdr90	1	ENSMUSG00000073434	
Erbb4	1	ENSMUSG00000062209	
Dqx1	1	ENSMUSG00000009145	
Wdr93	1	ENSMUSG00000039099	
Erbb3	1	ENSMUSG00000018166	
3110083C13Rik	1	ENSMUSG00000097303	
Ipp	1	ENSMUSG00000028696	
Tbkbp1	1	ENSMUSG00000038517	
Gm8705	1	ENSMUSG00000115057	
Or5w22	1	ENSMUSG00000061520	
Luc7l	1	ENSMUSG00000024188	
E130308A19Rik	1	ENSMUSG00000045071	
Cnst	1	ENSMUSG00000038949	
Dus3l	1	ENSMUSG00000007603	
Ccbe1	1	ENSMUSG00000046318	
A930029G22Rik	1	ENSMUSG00000096988	
Wdr83	1	ENSMUSG00000005150	
Wdr86	1	ENSMUSG00000055235	
Wdr88	1	ENSMUSG00000118454	
Prap1	1	ENSMUSG00000025467	
Cntf	1	ENSMUSG00000079415	
Wdr89	1	ENSMUSG00000045690	
Gm8712	1	ENSMUSG00000113743	
Mtres1	1	ENSMUSG00000019797	
Cnbd2	1	ENSMUSG00000038085	
Wdr82	1	ENSMUSG00000020257	
Wdr81	1	ENSMUSG00000045374	
Bpnt2	1	ENSMUSG00000066324	
Otud6b	1	ENSMUSG00000040550	
Gm8717	1	ENSMUSG00000117935	
Bpnt1	1	ENSMUSG00000026617	
Pm20d2	1	ENSMUSG00000054659	
Pm20d1	1	ENSMUSG00000042251	
Otud7a	1	ENSMUSG00000033510	
Otud7b	1	ENSMUSG00000038495	
Hdhd5	1	ENSMUSG00000058979	
Wdr73	1	ENSMUSG00000025722	
Mrtfa	1	ENSMUSG00000042292	
Wdr72	1	ENSMUSG00000044976	
Mrtfb	1	ENSMUSG00000009569	
Wdr75	1	ENSMUSG00000025995	
Wdr74	1	ENSMUSG00000042729	
Wdr77	1	ENSMUSG00000000561	
Pip4k2b	1	ENSMUSG00000018547	
Wdr76	1	ENSMUSG00000027242	
Pip4k2c	1	ENSMUSG00000025417	
Hdhd3	1	ENSMUSG00000038422	
Bri3bp	1	ENSMUSG00000037905	
Slc22a13b	1	ENSMUSG00000092212	
Pip4k2a	1	ENSMUSG00000026737	
Hdhd2	1	ENSMUSG00000025421	
Wdr70	1	ENSMUSG00000039828	
Dus1l	1	ENSMUSG00000025155	
Wdr5b	1	ENSMUSG00000034379	
Gm11814	1	ENSMUSG00000084215	
C030005K06Rik	1	ENSMUSG00000086600	
Cybc1	1	ENSMUSG00000039294	
Gm11816	1	ENSMUSG00000086233	
Gm11810	1	ENSMUSG00000082151	
Wdr62	1	ENSMUSG00000037020	
Ncapg	1	ENSMUSG00000015880	
Wdr66	1	ENSMUSG00000029442	
Ncaph	1	ENSMUSG00000034906	
A630072M18Rik	1	ENSMUSG00000101013	
Tdg-ps2	1	ENSMUSG00000085666	
Col8a1	1	ENSMUSG00000068196	
Col8a2	1	ENSMUSG00000056174	
Xkr8	1	ENSMUSG00000037752	
Wdr59	1	ENSMUSG00000031959	
Stat5a	1	ENSMUSG00000004043	
Xkr9	1	ENSMUSG00000067813	
Stat5b	1	ENSMUSG00000020919	
Mks1	1	ENSMUSG00000034121	
mt-Co2	1	ENSMUSG00000064354	
mt-Co3	1	ENSMUSG00000064358	
Wdr53	1	ENSMUSG00000022787	
Xkr4	1	ENSMUSG00000051951	
Wdr55	1	ENSMUSG00000042660	
Wdr54	1	ENSMUSG00000030032	
Gm11808	1	ENSMUSG00000068240	
Xkr6	1	ENSMUSG00000035067	
Xkr5	1	ENSMUSG00000039814	
Gm8741	1	ENSMUSG00000091655	
Itk	1	ENSMUSG00000020395	
Gm7411	1	ENSMUSG00000117640	
Igkj3	1	ENSMUSG00000076606	
Gm7413	1	ENSMUSG00000112673	
Slc27a1	1	ENSMUSG00000031808	
Pgam5	1	ENSMUSG00000029500	
Phf24	1	ENSMUSG00000036062	
Srpx2	1	ENSMUSG00000031253	
9530034E10Rik	1	ENSMUSG00000086554	
Ubl7	1	ENSMUSG00000055720	
Wdr48	1	ENSMUSG00000032512	
Kank1	1	ENSMUSG00000032702	
Wdr47	1	ENSMUSG00000040389	
Kank2	1	ENSMUSG00000032194	
Zfp638	1	ENSMUSG00000030016	
Wdr49	1	ENSMUSG00000104301	
Zfp637	1	ENSMUSG00000059689	
Wsb2-ps	1	ENSMUSG00000084020	
Phf20	1	ENSMUSG00000038116	
Nyap1	1	ENSMUSG00000045348	
Smagp	1	ENSMUSG00000053559	
Phf23	1	ENSMUSG00000018572	
Pgam2	1	ENSMUSG00000020475	
Nfkb2	1	ENSMUSG00000025225	
A430073I11Rik	1	ENSMUSG00000104022	
Nfkb1	1	ENSMUSG00000028163	
Pgam1	1	ENSMUSG00000011752	
Nyap2	1	ENSMUSG00000054976	
Wdr41	1	ENSMUSG00000042015	
Wdr44	1	ENSMUSG00000036769	
Ubl3	1	ENSMUSG00000001687	
Kirrel	1	ENSMUSG00000041734	
Zfp639	1	ENSMUSG00000027667	
Wdr43	1	ENSMUSG00000041057	
Ubl5	1	ENSMUSG00000084786	
Ptgr2	1	ENSMUSG00000072946	
Wdr46	1	ENSMUSG00000024312	
Wdr45	1	ENSMUSG00000039382	
Ptgr1	1	ENSMUSG00000028378	
Gm7420	1	ENSMUSG00000089975	
Gm8752	1	ENSMUSG00000092278	
Vamp9	1	ENSMUSG00000105078	
Gm8750	1	ENSMUSG00000092560	
Vamp8	1	ENSMUSG00000050732	
Gm7424	1	ENSMUSG00000108609	
Gm8756	1	ENSMUSG00000098238	
Gm8757	1	ENSMUSG00000084125	
Litafd	1	ENSMUSG00000107252	
Lncenc1	1	ENSMUSG00000078952	
Vamp1	1	ENSMUSG00000030337	
Gm7429	1	ENSMUSG00000082260	
Cdk5r2	1	ENSMUSG00000090071	
Vamp3	1	ENSMUSG00000028955	
Cdk5r1	1	ENSMUSG00000048895	
Vamp2	1	ENSMUSG00000020894	
Vamp5	1	ENSMUSG00000073002	
Kank3	1	ENSMUSG00000042099	
Vamp4	1	ENSMUSG00000026696	
Kank4	1	ENSMUSG00000035407	
Xkrx	1	ENSMUSG00000031258	
Wdr37	1	ENSMUSG00000021147	
Wdr36	1	ENSMUSG00000038299	
Wdr38	1	ENSMUSG00000035295	
Zfp626	1	ENSMUSG00000030604	
Cdhr18	1	ENSMUSG00000084902	
Ivd	1	ENSMUSG00000027332	
Zfp623	1	ENSMUSG00000050846	
Cdhr17	1	ENSMUSG00000109903	
Zfp622	1	ENSMUSG00000052253	
Lhpp	1	ENSMUSG00000030946	
Wdr31	1	ENSMUSG00000028391	
Ptgs1	1	ENSMUSG00000047250	
Zfp629	1	ENSMUSG00000045639	
Wdr33	1	ENSMUSG00000024400	
Zfp628	1	ENSMUSG00000074406	
Ivl	1	ENSMUSG00000049128	
Wdr35	1	ENSMUSG00000066643	
Ptgs2	1	ENSMUSG00000032487	
Gykl1	1	ENSMUSG00000053624	
Letm1	1	ENSMUSG00000005299	
Il6st	1	ENSMUSG00000021756	
Whrn	1	ENSMUSG00000039137	
Gm8724	1	ENSMUSG00000057370	
Gm8722	1	ENSMUSG00000081164	
Cgnl1	1	ENSMUSG00000032232	
Wdr26	1	ENSMUSG00000038733	
Wdr25	1	ENSMUSG00000040877	
Wdr27	1	ENSMUSG00000046991	
A930012O16Rik	1	ENSMUSG00000054181	
Sel1l	1	ENSMUSG00000020964	
Sbspon	1	ENSMUSG00000032719	
Zfp612	1	ENSMUSG00000044676	
Ptgdr2	1	ENSMUSG00000034117	
Ahrr	1	ENSMUSG00000021575	
Ubn1	1	ENSMUSG00000039473	
Plaat3	1	ENSMUSG00000060675	
Ubn2	1	ENSMUSG00000038538	
Wdr20	1	ENSMUSG00000037957	
Plaat1	1	ENSMUSG00000022525	
Zfp618	1	ENSMUSG00000028358	
Zfp617	1	ENSMUSG00000066880	
