NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_GLUCOCORTICOID_SECRETION	15		Rejected!	
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	12		Rejected!	
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	27	24		
GOBP_GLUCOSAMINE_METABOLIC_PROCESS	5		Rejected!	
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	30	27		
GOBP_GLUCOSE_CATABOLIC_PROCESS	26	25		
GOBP_GLUCOSE_CATABOLIC_PROCESS_TO_LACTATE	5		Rejected!	
GOBP_GLUCOSE_IMPORT	87	82		
GOBP_GLUCOSE_IMPORT_IN_RESPONSE_TO_INSULIN_STIMULUS	6		Rejected!	
GOBP_GLUCOSE_METABOLIC_PROCESS	225	198		
GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GLUCURONATE_CATABOLIC_PROCESS_TO_XYLULOSE_5_PHOSPHATE	5		Rejected!	
GOBP_GLUTAMATERGIC_NEURON_DIFFERENTIATION	27	24		
GOBP_GLUTAMATE_CATABOLIC_PROCESS	6		Rejected!	
GOBP_GLUTAMATE_METABOLIC_PROCESS	31	30		
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	50	45		
GOBP_GLUTAMATE_SECRETION	37	34		
GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION	9		Rejected!	
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	15		Rejected!	
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	23	22		
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	70	66		
GOBP_GLUTAMINE_METABOLIC_PROCESS	23	21		
GOBP_GLUTAMINE_TRANSPORT	9		Rejected!	
GOBP_GLUTATHIONE_CATABOLIC_PROCESS	6		Rejected!	
GOBP_GLUTATHIONE_METABOLIC_PROCESS	64	64		
GOBP_GLUTATHIONE_TRANSMEMBRANE_TRANSPORT	5		Rejected!	
GOBP_GLUTATHIONE_TRANSPORT	8		Rejected!	
GOBP_GLYCERALDEHYDE_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	12		Rejected!	
GOBP_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	16		Rejected!	
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	218	211		
GOBP_GLYCEROLIPID_CATABOLIC_PROCESS	67	50		
GOBP_GLYCEROLIPID_METABOLIC_PROCESS	380	342		
GOBP_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS	11		Rejected!	
GOBP_GLYCEROL_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_GLYCEROL_ETHER_METABOLIC_PROCESS	20	19		
GOBP_GLYCEROL_METABOLIC_PROCESS	21	18		
GOBP_GLYCEROL_TRANSMEMBRANE_TRANSPORT	5		Rejected!	
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS	168	166		
GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS	34	27		
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	273	257		
GOBP_GLYCINE_BIOSYNTHETIC_PROCESS	6		Rejected!	
GOBP_GLYCINE_IMPORT_ACROSS_PLASMA_MEMBRANE	7		Rejected!	
GOBP_GLYCINE_METABOLIC_PROCESS	15		Rejected!	
GOBP_GLYCINE_TRANSPORT	15		Rejected!	
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS	68	67		
GOBP_GLYCOLIPID_CATABOLIC_PROCESS	16		Rejected!	
GOBP_GLYCOLYTIC_PROCESS	104	96		
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	26	24		
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	20	20		
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	289	261		
GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS	32	31		
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	354	321		
GOBP_GLYCOSAMINOGLYCAN_CATABOLIC_PROCESS	31	23		
GOBP_GLYCOSIDE_CATABOLIC_PROCESS	8		Rejected!	
GOBP_GLYCOSIDE_METABOLIC_PROCESS	21	17		
GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	31	30		
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS	53	51		
GOBP_GLYCOSYLATION	225	204		
GOBP_GLYCOSYLCERAMIDE_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_GLYCOSYLCERAMIDE_CATABOLIC_PROCESS	7		Rejected!	
GOBP_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	16	16		
GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS	18	18		
GOBP_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS	30	29		
GOBP_GLYCOSYL_COMPOUND_METABOLIC_PROCESS	76	69		
GOBP_GLYOXYLATE_METABOLIC_PROCESS	7		Rejected!	
GOBP_GMP_BIOSYNTHETIC_PROCESS	16	16		
GOBP_GMP_CATABOLIC_PROCESS	9		Rejected!	
GOBP_GMP_METABOLIC_PROCESS	24	23		
GOBP_GMP_SALVAGE	10		Rejected!	
GOBP_GOLGI_DISASSEMBLY	6		Rejected!	
GOBP_GOLGI_LOCALIZATION	15	15		
GOBP_GOLGI_ORGANIZATION	136	133		
GOBP_GOLGI_REASSEMBLY	5		Rejected!	
GOBP_GOLGI_RIBBON_FORMATION	10		Rejected!	
GOBP_GOLGI_TO_ENDOSOME_TRANSPORT	13		Rejected!	
GOBP_GOLGI_TO_LYSOSOME_TRANSPORT	12		Rejected!	
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	39	38		
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	59	58		
GOBP_GOLGI_TO_VACUOLE_TRANSPORT	21	20		
GOBP_GOLGI_VESICLE_BUDDING	8		Rejected!	
GOBP_GOLGI_VESICLE_FUSION_TO_TARGET_MEMBRANE	5		Rejected!	
GOBP_GOLGI_VESICLE_TRANSPORT	280	274		
GOBP_GONADOTROPHIN_RELEASING_HORMONE_NEURONAL_MIGRATION_TO_THE_HYPOTHALAMUS	7		Rejected!	
GOBP_GONADOTROPIN_SECRETION	18		Rejected!	
GOBP_GPI_ANCHOR_METABOLIC_PROCESS	35	35		
GOBP_GRANULOCYTE_ACTIVATION	51	42		
GOBP_GRANULOCYTE_CHEMOTAXIS	135	116		
GOBP_GRANULOCYTE_DIFFERENTIATION	51	47		
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	17		Rejected!	
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_GRANULOCYTE_MIGRATION	166	142		
GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY	15		Rejected!	
GOBP_GROOMING_BEHAVIOR	24	20		
GOBP_GROWTH	1104		Rejected!	
GOBP_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	8		Rejected!	
GOBP_GROWTH_HORMONE_SECRETION	22	20		
GOBP_GROWTH_INVOLVED_IN_HEART_MORPHOGENESIS	5		Rejected!	
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DEVELOPMENT	6		Rejected!	
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DIFFERENTIATION	11		Rejected!	
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_PROLIFERATION	6		Rejected!	
GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT	26	22		
GOBP_GTP_BIOSYNTHETIC_PROCESS	11		Rejected!	
GOBP_GTP_METABOLIC_PROCESS	27	25		
GOBP_GUANINE_CATABOLIC_PROCESS	5		Rejected!	
GOBP_GUANINE_METABOLIC_PROCESS	9		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	7		Rejected!	
GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	21	17		
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	15		Rejected!	
GOBP_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	12		Rejected!	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	19	16		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1965		Rejected!	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CGMP_NUCLEOTIDE_SECOND_MESSENGER	6		Rejected!	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	34	24		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	16	16		
GOBP_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	11		Rejected!	
GOBP_G_QUADRUPLEX_DNA_UNWINDING	5		Rejected!	
GOBP_HABITUATION	6		Rejected!	
GOBP_HAIR_CELL_DIFFERENTIATION	70	60		
GOBP_HAIR_CYCLE_PHASE	22	19		
GOBP_HAIR_FOLLICLE_CELL_PROLIFERATION	5		Rejected!	
GOBP_HAIR_FOLLICLE_MATURATION	28	25		
GOBP_HAIR_FOLLICLE_PLACODE_FORMATION	6		Rejected!	
GOBP_HARD_PALATE_DEVELOPMENT	10		Rejected!	
GOBP_HEAD_DEVELOPMENT	759		Rejected!	
GOBP_HEAD_MORPHOGENESIS	48	46		
GOBP_HEAD_SEGMENTATION	5		Rejected!	
GOBP_HEART_DEVELOPMENT	674		Rejected!	
GOBP_HEART_FIELD_SPECIFICATION	17		Rejected!	
GOBP_HEART_FORMATION	34	27		
GOBP_HEART_GROWTH	125	112		
GOBP_HEART_MORPHOGENESIS	295	259		
GOBP_HEART_PROCESS	253	228		
GOBP_HEART_TRABECULA_FORMATION	15		Rejected!	
GOBP_HEART_TRABECULA_MORPHOGENESIS	37	34		
GOBP_HEART_VALVE_DEVELOPMENT	65	61		
GOBP_HEART_VALVE_FORMATION	15		Rejected!	
GOBP_HEART_VALVE_MORPHOGENESIS	54	50		
GOBP_HEAT_GENERATION	23	21		
GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT	127	109		
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	186	156		
GOBP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	42	32		
GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS	30	29		
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION	11		Rejected!	
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION_TO_BONE_MARROW	5		Rejected!	
GOBP_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	42	35		
GOBP_HEME_BIOSYNTHETIC_PROCESS	26	26		
GOBP_HEME_METABOLIC_PROCESS	36	35		
GOBP_HEME_TRANSPORT	9		Rejected!	
GOBP_HEMIDESMOSOME_ASSEMBLY	6		Rejected!	
GOBP_HEMOGLOBIN_BIOSYNTHETIC_PROCESS	15		Rejected!	
GOBP_HEMOGLOBIN_METABOLIC_PROCESS	22	20		
GOBP_HEMOPOIESIS	1087		Rejected!	
GOBP_HEMOSTASIS	180	156		
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	31	28		
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_ENZYMATIC_MODIFICATION	5		Rejected!	
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_POLYSACCHARIDE_CHAIN_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_CATABOLIC_PROCESS	8		Rejected!	
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	9		Rejected!	
GOBP_HEPARIN_BIOSYNTHETIC_PROCESS	6		Rejected!	
GOBP_HEPARIN_METABOLIC_PROCESS	12		Rejected!	
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	143	130		
GOBP_HEPATIC_STELLATE_CELL_ACTIVATION	16	15		
GOBP_HEPATIC_STELLATE_CELL_PROLIFERATION	5		Rejected!	
GOBP_HEPATOCYTE_APOPTOTIC_PROCESS	24	24		
GOBP_HEPATOCYTE_DIFFERENTIATION	14		Rejected!	
GOBP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	12		Rejected!	
GOBP_HEPOXILIN_METABOLIC_PROCESS	12		Rejected!	
GOBP_HETEROCHROMATIN_ORGANIZATION	99	91		
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	50	47		
GOBP_HETEROTYPIC_CELL_CELL_ADHESION	57	51		
GOBP_HEXOSE_CATABOLIC_PROCESS	38	36		
GOBP_HEXOSE_PHOSPHATE_TRANSPORT	5		Rejected!	
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	8		Rejected!	
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	11		Rejected!	
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	14		Rejected!	
GOBP_HINDBRAIN_DEVELOPMENT	177	161		
GOBP_HINDBRAIN_MATURATION	7		Rejected!	
GOBP_HINDBRAIN_MORPHOGENESIS	62	56		
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	15	15		
GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION	5		Rejected!	
GOBP_HINDGUT_DEVELOPMENT	10		Rejected!	
GOBP_HINDLIMB_MORPHOGENESIS	49	41		
GOBP_HIPPOCAMPAL_NEURON_APOPTOTIC_PROCESS	8		Rejected!	
GOBP_HIPPOCAMPUS_DEVELOPMENT	88	79		
GOBP_HIPPO_SIGNALING	40	40		
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	11		Rejected!	
GOBP_HISTAMINE_TRANSPORT	20	20		
GOBP_HISTIDINE_CATABOLIC_PROCESS	5		Rejected!	
GOBP_HISTIDINE_METABOLIC_PROCESS	7		Rejected!	
GOBP_HISTONE_DEACETYLATION	29	29		
GOBP_HISTONE_DEMETHYLATION	9		Rejected!	
GOBP_HISTONE_H2A_ACETYLATION	5		Rejected!	
GOBP_HISTONE_H2A_UBIQUITINATION	5		Rejected!	
GOBP_HISTONE_H3_ACETYLATION	10		Rejected!	
GOBP_HISTONE_H3_K27_METHYLATION	7		Rejected!	
GOBP_HISTONE_H3_K4_METHYLATION	23	21		
GOBP_HISTONE_H3_K9_METHYLATION	6		Rejected!	
GOBP_HISTONE_H3_K9_MODIFICATION	8		Rejected!	
GOBP_HISTONE_H4_ACETYLATION	14		Rejected!	
GOBP_HISTONE_H4_K16_ACETYLATION	8		Rejected!	
GOBP_HISTONE_METHYLATION	55	51		
GOBP_HISTONE_MODIFICATION	164	159		
GOBP_HISTONE_MONOUBIQUITINATION	8		Rejected!	
GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	11		Rejected!	
GOBP_HISTONE_MRNA_METABOLIC_PROCESS	20	20		
GOBP_HISTONE_UBIQUITINATION	11		Rejected!	
GOBP_HIS_PURKINJE_SYSTEM_DEVELOPMENT	6		Rejected!	
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS	400	361		
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE	48	43		
GOBP_HOMEOSTATIC_PROCESS	1891		Rejected!	
GOBP_HOMOCYSTEINE_METABOLIC_PROCESS	13		Rejected!	
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	57	45		
GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	71	57		
GOBP_HOMOLOGOUS_RECOMBINATION	64	56		
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	110	92		
GOBP_HOMOTYPIC_CELL_CELL_ADHESION	86	74		
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	62	48		
GOBP_HORMONE_CATABOLIC_PROCESS	13		Rejected!	
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	168	148		
GOBP_HORMONE_METABOLIC_PROCESS	245	176		
GOBP_HORMONE_TRANSPORT	409	348		
GOBP_HOST_MEDIATED_REGULATION_OF_INTESTINAL_MICROBIOTA_COMPOSITION	9		Rejected!	
GOBP_HUMORAL_IMMUNE_RESPONSE	314	170		
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	54	36		
GOBP_HYALOID_VASCULAR_PLEXUS_REGRESSION	8		Rejected!	
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	15	15		
GOBP_HYALURONAN_CATABOLIC_PROCESS	19		Rejected!	
GOBP_HYALURONAN_METABOLIC_PROCESS	40	34		
GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	19	15		
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS	29	19		
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	57	42		
GOBP_HYDROGEN_SULFIDE_METABOLIC_PROCESS	5		Rejected!	
GOBP_HYPEROSMOTIC_RESPONSE	34	20		
GOBP_HYPEROSMOTIC_SALINITY_RESPONSE	22		Rejected!	
GOBP_HYPERSENSITIVITY	42	29		
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	14		Rejected!	
GOBP_HYPOTHALAMUS_CELL_MIGRATION	9		Rejected!	
GOBP_HYPOTHALAMUS_DEVELOPMENT	25	17		
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	9		Rejected!	
GOBP_HYPOTONIC_RESPONSE	10		Rejected!	
GOBP_HYPOXANTHINE_METABOLIC_PROCESS	7		Rejected!	
GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY	7		Rejected!	
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	52	39		
GOBP_ICOSANOID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_ICOSANOID_METABOLIC_PROCESS	146	84		
GOBP_ICOSANOID_SECRETION	52	42		
GOBP_ICOSANOID_TRANSPORT	66	54		
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	22		Rejected!	
GOBP_IMMATURE_T_CELL_PROLIFERATION	19	18		
GOBP_IMMUNE_COMPLEX_CLEARANCE	6		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	850		Rejected!	
GOBP_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	6		Rejected!	
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	293	245		
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	9		Rejected!	
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	449	393		
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL	31	22		
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	257	218		
GOBP_IMMUNOGLOBULIN_PRODUCTION	275	140		
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	74	63		
GOBP_IMMUNOGLOBULIN_V_D_J_RECOMBINATION	10		Rejected!	
GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS	9		Rejected!	
GOBP_IMMUNOLOGICAL_MEMORY_PROCESS	14		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	17		Rejected!	
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	207	183		
GOBP_IMPORT_INTO_CELL	932		Rejected!	
GOBP_IMPORT_INTO_NUCLEUS	187	179		
GOBP_IMP_BIOSYNTHETIC_PROCESS	15	15		
GOBP_IMP_CATABOLIC_PROCESS	8		Rejected!	
GOBP_IMP_METABOLIC_PROCESS	24	22		
GOBP_IMP_SALVAGE	9		Rejected!	
GOBP_INCLUSION_BODY_ASSEMBLY	27	26		
GOBP_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	9		Rejected!	
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	27	24		
GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS	15		Rejected!	
GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	47	44		
GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS	28	25		
GOBP_INFLAMMATORY_RESPONSE	839		Rejected!	
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	103	74		
GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING	33	29		
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_INHIBITION_OF_NON_SKELETAL_TISSUE_MINERALIZATION	10		Rejected!	
GOBP_INHIBITORY_CHEMICAL_SYNAPTIC_TRANSMISSION	7		Rejected!	
GOBP_INHIBITORY_POSTSYNAPTIC_POTENTIAL	25	23		
GOBP_INHIBITORY_SYNAPSE_ASSEMBLY	20	18		
GOBP_INNATE_IMMUNE_RESPONSE	992		Rejected!	
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	82	70		
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY	244	224		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	52		Rejected!	
GOBP_INNERVATION	32	28		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	17	15		
GOBP_INNER_DYNEIN_ARM_ASSEMBLY	18	17		
GOBP_INNER_EAR_MORPHOGENESIS	123	102		
GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT	67	59		
GOBP_INNER_EAR_RECEPTOR_CELL_FATE_COMMITMENT	6		Rejected!	
GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	48	43		
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	35	35		
GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	90	72		
GOBP_INORGANIC_ANION_TRANSPORT	155	124		
GOBP_INORGANIC_ION_HOMEOSTASIS	558	476		
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	125	105		
GOBP_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	852		Rejected!	
GOBP_INOSINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_INOSITOL_METABOLIC_PROCESS	10		Rejected!	
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	32	28		
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	44	40		
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	12		Rejected!	
GOBP_INOSITOL_TRISPHOSPHATE_METABOLIC_PROCESS	18	17		
GOBP_INSEMINATION	12		Rejected!	
GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	52	48		
GOBP_INSULIN_METABOLIC_PROCESS	20	19		
GOBP_INSULIN_PROCESSING	10		Rejected!	
GOBP_INSULIN_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	138	127		
GOBP_INSULIN_SECRETION	266	228		
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	101	90		
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	22	21		
GOBP_INTEGRIN_ACTIVATION	27	26		
GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	101	96		
GOBP_INTERCELLULAR_TRANSPORT	10		Rejected!	
GOBP_INTERFERON_ALPHA_PRODUCTION	36	34		
GOBP_INTERFERON_BETA_PRODUCTION	73	68		
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	84	74		
GOBP_INTERKINETIC_NUCLEAR_MIGRATION	10		Rejected!	
GOBP_INTERLEUKIN_10_PRODUCTION	68	62		
GOBP_INTERLEUKIN_11_MEDIATED_SIGNALING_PATHWAY	6		Rejected!	
GOBP_INTERLEUKIN_12_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_INTERLEUKIN_12_PRODUCTION	66	60		
GOBP_INTERLEUKIN_13_PRODUCTION	46	36		
GOBP_INTERLEUKIN_17A_MEDIATED_SIGNALING_PATHWAY	6		Rejected!	
GOBP_INTERLEUKIN_17_MEDIATED_SIGNALING_PATHWAY	12		Rejected!	
GOBP_INTERLEUKIN_17_PRODUCTION	47	43		
GOBP_INTERLEUKIN_18_PRODUCTION	13		Rejected!	
GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION	13		Rejected!	
GOBP_INTERLEUKIN_1_BETA_PRODUCTION	101	93		
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	27	27		
GOBP_INTERLEUKIN_1_PRODUCTION	122	112		
GOBP_INTERLEUKIN_23_PRODUCTION	10		Rejected!	
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY	5		Rejected!	
GOBP_INTERLEUKIN_2_PRODUCTION	76	72		
GOBP_INTERLEUKIN_33_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_INTERLEUKIN_33_PRODUCTION	5		Rejected!	
GOBP_INTERLEUKIN_3_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_INTERLEUKIN_4_MEDIATED_SIGNALING_PATHWAY	9		Rejected!	
GOBP_INTERLEUKIN_4_PRODUCTION	66	51		
GOBP_INTERLEUKIN_5_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_INTERLEUKIN_5_PRODUCTION	22	18		
GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	19	19		
GOBP_INTERLEUKIN_6_PRODUCTION	182	171		
GOBP_INTERLEUKIN_8_PRODUCTION	76	70		
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	97	62		
GOBP_INTERMEDIATE_FILAMENT_BUNDLE_ASSEMBLY	8		Rejected!	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	76	41		
GOBP_INTERMEMBRANE_LIPID_TRANSFER	9		Rejected!	
GOBP_INTERNAL_PROTEIN_AMINO_ACID_ACETYLATION	69	69		
