NAME	TITLE	SCORE	
Tnfrsf21	tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]	1.1760279	
Rnf215	ring finger protein 215 [Source:MGI Symbol;Acc:MGI:1918923]	1.1757104	
Ankrd13a	ankyrin repeat domain 13a [Source:MGI Symbol;Acc:MGI:1915670]	1.1751494	
Ppp1r18	protein phosphatase 1, regulatory subunit 18 [Source:MGI Symbol;Acc:MGI:1923698]	1.175122	
Gps2	G protein pathway suppressor 2 [Source:MGI Symbol;Acc:MGI:1891751]	1.174713	
P2rx4	purinergic receptor P2X, ligand-gated ion channel 4 [Source:MGI Symbol;Acc:MGI:1338859]	1.1740364	
Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1929693]	1.1739591	
Gm31619	predicted gene, 31619 [Source:MGI Symbol;Acc:MGI:5590778]	1.1735193	
Brme1	break repair meiotic recombinase recruitment factor 1 [Source:MGI Symbol;Acc:MGI:1921916]	1.1727715	
Zfp456	zinc finger protein 456 [Source:MGI Symbol;Acc:MGI:3040694]	1.172689	
Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A [Source:MGI Symbol;Acc:MGI:2662992]	1.1694864	
Atf6	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	1.168991	
Gm4949	predicted gene 4949 [Source:MGI Symbol;Acc:MGI:3646890]	1.1688838	
Etv3	ets variant 3 [Source:MGI Symbol;Acc:MGI:1350926]	1.1685536	
Gm1943	predicted gene 1943 [Source:MGI Symbol;Acc:MGI:3037801]	1.1685263	
Gm41818	predicted gene, 41818 [Source:MGI Symbol;Acc:MGI:5624703]	1.1675607	
Slc25a43	solute carrier family 25, member 43 [Source:MGI Symbol;Acc:MGI:2684854]	1.1673417	
Pus7l	pseudouridylate synthase 7-like [Source:MGI Symbol;Acc:MGI:1926145]	1.1667926	
Mcub	mitochondrial calcium uniporter dominant negative beta subunit [Source:MGI Symbol;Acc:MGI:1914065]	1.1662802	
Usb1	U6 snRNA biogenesis 1 [Source:MGI Symbol;Acc:MGI:2142454]	1.1661273	
Zfp993	zinc finger protein 993 [Source:MGI Symbol;Acc:MGI:3713585]	1.1659945	
Lipo2	lipase, member O2 [Source:MGI Symbol;Acc:MGI:3644466]	1.1655124	
Kcnk13	potassium channel, subfamily K, member 13 [Source:MGI Symbol;Acc:MGI:2384976]	1.1652749	
Igsf6	immunoglobulin superfamily, member 6 [Source:MGI Symbol;Acc:MGI:1891393]	1.1650214	
Pcdhgb2	protocadherin gamma subfamily B, 2 [Source:MGI Symbol;Acc:MGI:1935170]	1.1649582	
Plcg2	phospholipase C, gamma 2 [Source:MGI Symbol;Acc:MGI:97616]	1.1647636	
Gna13	guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]	1.1642816	
Gm4319	predicted gene 4319 [Source:MGI Symbol;Acc:MGI:3782500]	1.1641747	
Fam217b	family with sequence similarity 217, member B [Source:MGI Symbol;Acc:MGI:1918782]	1.1639718	
Arrdc1	arrestin domain containing 1 [Source:MGI Symbol;Acc:MGI:2446136]	1.1635963	
Gm11689	predicted gene 11689 [Source:MGI Symbol;Acc:MGI:3652327]	1.1635784	
Gm2065	predicted gene 2065 [Source:MGI Symbol;Acc:MGI:3780232]	1.1635784	
Acsl4	acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713]	1.1634165	
Btf3-ps3	basic transcription factor 3, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3647336]	1.1632345	
Art3	ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]	1.1630278	
5031425F14Rik	RIKEN cDNA 5031425F14 gene [Source:MGI Symbol;Acc:MGI:2442533]	1.162621	
Gm6023	predicted gene 6023 [Source:MGI Symbol;Acc:MGI:3645815]	1.1615372	
Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A [Source:MGI Symbol;Acc:MGI:102701]	1.1614928	
Fkbp5	FK506 binding protein 5 [Source:MGI Symbol;Acc:MGI:104670]	1.1613212	
Ints12	integrator complex subunit 12 [Source:MGI Symbol;Acc:MGI:1919043]	1.1611527	
Gm12655	predicted gene 12655 [Source:MGI Symbol;Acc:MGI:3651648]	1.1604533	
Cdan1	congenital dyserythropoietic anemia, type I (human) [Source:MGI Symbol;Acc:MGI:1916218]	1.1603967	
Tstd1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1 [Source:MGI Symbol;Acc:MGI:3648482]	1.1602794	
Eps15l1	epidermal growth factor receptor pathway substrate 15-like 1 [Source:MGI Symbol;Acc:MGI:104582]	1.1600432	
Glns-ps1	glutamine synthetase pseudogene 1 [Source:MGI Symbol;Acc:MGI:95740]	1.1600126	
Pold3	polymerase (DNA-directed), delta 3, accessory subunit [Source:MGI Symbol;Acc:MGI:1915217]	1.1592749	
Acly	ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]	1.1591557	
Eid1	EP300 interacting inhibitor of differentiation 1 [Source:MGI Symbol;Acc:MGI:1889651]	1.1590998	
Rfxank	regulatory factor X-associated ankyrin-containing protein [Source:MGI Symbol;Acc:MGI:1333865]	1.1587807	
Ccnl1	cyclin L1 [Source:MGI Symbol;Acc:MGI:1922664]	1.1585401	
Dipk2a	divergent protein kinase domain 2A [Source:MGI Symbol;Acc:MGI:1916111]	1.1585017	
Il10rb	interleukin 10 receptor, beta [Source:MGI Symbol;Acc:MGI:109380]	1.1583713	
Mtfr2	mitochondrial fission regulator 2 [Source:MGI Symbol;Acc:MGI:1919054]	1.1582617	
Mef2c	myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]	1.1579511	
Prkcd	protein kinase C, delta [Source:MGI Symbol;Acc:MGI:97598]	1.1577083	
D7Ertd128e	DNA segment, Chr 7, ERATO Doi 128, expressed [Source:MGI Symbol;Acc:MGI:1098716]	1.1576068	
Snx10	sorting nexin 10 [Source:MGI Symbol;Acc:MGI:1919232]	1.1563871	
Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit [Source:MGI Symbol;Acc:MGI:88293]	1.1562738	
Klrb1b	killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539]	1.1560223	
Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]	1.1559038	
Znf41-ps	ZNF41, pseudogene [Source:MGI Symbol;Acc:MGI:1917255]	1.1551782	
Klf11	Kruppel-like factor 11 [Source:MGI Symbol;Acc:MGI:2653368]	1.1551744	
Gamt	guanidinoacetate methyltransferase [Source:MGI Symbol;Acc:MGI:1098221]	1.1549212	
6820431F20Rik	RIKEN cDNA 6820431F20 gene [Source:MGI Symbol;Acc:MGI:3694236]	1.1544673	
Gm15477	predicted gene 15477 [Source:MGI Symbol;Acc:MGI:3705209]	1.1544462	
Fabp5l2	fatty acid binding protein 5-like 2 [Source:MGI Symbol;Acc:MGI:3644282]	1.1543857	
Pde3b	phosphodiesterase 3B, cGMP-inhibited [Source:MGI Symbol;Acc:MGI:1333863]	1.1543212	
Tpm3	tropomyosin 3, gamma [Source:MGI Symbol;Acc:MGI:1890149]	1.154291	
Gm8795	predicted gene 8795 [Source:MGI Symbol;Acc:MGI:3643764]	1.154134	
Ptpn12	protein tyrosine phosphatase, non-receptor type 12 [Source:MGI Symbol;Acc:MGI:104673]	1.1540667	
Tsga10	testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]	1.1532454	
Cpsf1	cleavage and polyadenylation specific factor 1 [Source:MGI Symbol;Acc:MGI:2679722]	1.1528827	
Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]	1.1520882	
Foxn2	forkhead box N2 [Source:MGI Symbol;Acc:MGI:1347478]	1.1515476	
Zfp992	zinc finger protein 992 [Source:MGI Symbol;Acc:MGI:3700963]	1.1513186	
Iffo2	intermediate filament family orphan 2 [Source:MGI Symbol;Acc:MGI:2140675]	1.1491588	
Sh2b3	SH2B adaptor protein 3 [Source:MGI Symbol;Acc:MGI:893598]	1.148815	
Abca14	ATP-binding cassette, sub-family A (ABC1), member 14 [Source:MGI Symbol;Acc:MGI:2388708]	1.1481559	
Nbeal2	neurobeachin-like 2 [Source:MGI Symbol;Acc:MGI:2448554]	1.1480138	
Ivns1abp	influenza virus NS1A binding protein [Source:MGI Symbol;Acc:MGI:2152389]	1.1479124	
Ccdc9	coiled-coil domain containing 9 [Source:MGI Symbol;Acc:MGI:1921443]	1.1470609	
Zfp607a	zinc finger protein 607A [Source:MGI Symbol;Acc:MGI:3584526]	1.1468081	
Ly86	lymphocyte antigen 86 [Source:MGI Symbol;Acc:MGI:1321404]	1.1465105	
Pttg1	pituitary tumor-transforming gene 1 [Source:MGI Symbol;Acc:MGI:1353578]	1.1463655	
Spp1	secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]	1.146277	
Lair1	leukocyte-associated Ig-like receptor 1 [Source:MGI Symbol;Acc:MGI:105492]	1.1460303	
Gnptab	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:MGI Symbol;Acc:MGI:3643902]	1.1455661	
Gm4247	predicted gene 4247 [Source:MGI Symbol;Acc:MGI:3782424]	1.1451571	
Setdb2	SET domain, bifurcated 2 [Source:MGI Symbol;Acc:MGI:2685139]	1.1448624	
Cd300lb	CD300 molecule like family member B [Source:MGI Symbol;Acc:MGI:2685099]	1.1442374	
Ccrl2	chemokine (C-C motif) receptor-like 2 [Source:MGI Symbol;Acc:MGI:1920904]	1.1419427	
Hnrnpl	heterogeneous nuclear ribonucleoprotein L [Source:MGI Symbol;Acc:MGI:104816]	1.1416352	
Bmp2k	BMP2 inducible kinase [Source:MGI Symbol;Acc:MGI:2155456]	1.141434	
Fmnl3	formin-like 3 [Source:MGI Symbol;Acc:MGI:109569]	1.1396224	
Cryba4	crystallin, beta A4 [Source:MGI Symbol;Acc:MGI:102716]	1.139549	
Stk38	serine/threonine kinase 38 [Source:MGI Symbol;Acc:MGI:2442572]	1.1392399	
Galnt1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	1.1391602	
Mob1a	MOB kinase activator 1A [Source:MGI Symbol;Acc:MGI:2442631]	1.1387218	
Marcks	myristoylated alanine rich protein kinase C substrate [Source:MGI Symbol;Acc:MGI:96907]	1.1385192	
Gm10252	predicted gene 10252 [Source:MGI Symbol;Acc:MGI:3704292]	1.1378578	
Ap1g2	adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]	1.1373869	
Ctsz	cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]	1.1373687	
Jpt1	Jupiter microtubule associated homolog 1 [Source:MGI Symbol;Acc:MGI:1096361]	1.137289	
Pitpna	phosphatidylinositol transfer protein, alpha [Source:MGI Symbol;Acc:MGI:99887]	1.1362394	
Retreg3	reticulophagy regulator family member 3 [Source:MGI Symbol;Acc:MGI:1915248]	1.1360857	
Igsf8	immunoglobulin superfamily, member 8 [Source:MGI Symbol;Acc:MGI:2154090]	1.1352797	
A530041M06Rik	RIKEN cDNA A530041M06 gene [Source:MGI Symbol;Acc:MGI:3026943]	1.1351418	
Rassf2	Ras association (RalGDS/AF-6) domain family member 2 [Source:MGI Symbol;Acc:MGI:2442060]	1.1348263	
Prkd3	protein kinase D3 [Source:MGI Symbol;Acc:MGI:1922542]	1.1345147	
Tlr8	toll-like receptor 8 [Source:MGI Symbol;Acc:MGI:2176887]	1.1338885	
Zeb2	zinc finger E-box binding homeobox 2 [Source:MGI Symbol;Acc:MGI:1344407]	1.1336854	
Slfn9	schlafen 9 [Source:MGI Symbol;Acc:MGI:2445121]	1.1330963	
Gm5134	predicted gene 5134 [Source:MGI Symbol;Acc:MGI:3646667]	1.1327724	
Nin	ninein [Source:MGI Symbol;Acc:MGI:105108]	1.1326829	
Gm26510	predicted gene, 26510 [Source:MGI Symbol;Acc:MGI:5477004]	1.1324992	
Arhgap45	Rho GTPase activating protein 45 [Source:MGI Symbol;Acc:MGI:1917969]	1.13221	
Plaur	plasminogen activator, urokinase receptor [Source:MGI Symbol;Acc:MGI:97612]	1.1318984	
Gm5910	predicted gene 5910 [Source:MGI Symbol;Acc:MGI:3646687]	1.1316246	
Car13	carbonic anhydrase 13 [Source:MGI Symbol;Acc:MGI:1931322]	1.1300186	
Gm39816	predicted gene, 39816 [Source:MGI Symbol;Acc:MGI:5622701]	1.1298554	
Aldh3a2	aldehyde dehydrogenase family 3, subfamily A2 [Source:MGI Symbol;Acc:MGI:1353452]	1.1291898	
Gm13147	predicted gene 13147 [Source:MGI Symbol;Acc:MGI:3651740]	1.1291252	
Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	1.129101	
Osbpl11	oxysterol binding protein-like 11 [Source:MGI Symbol;Acc:MGI:2146553]	1.1288264	
Psen1	presenilin 1 [Source:MGI Symbol;Acc:MGI:1202717]	1.1287016	
H2-DMa	histocompatibility 2, class II, locus DMa [Source:MGI Symbol;Acc:MGI:95921]	1.1279895	
Vash1	vasohibin 1 [Source:MGI Symbol;Acc:MGI:2442543]	1.1278673	
Rps6ka3	ribosomal protein S6 kinase polypeptide 3 [Source:MGI Symbol;Acc:MGI:104557]	1.1266898	
Ust	uronyl-2-sulfotransferase [Source:MGI Symbol;Acc:MGI:2442406]	1.1258997	
Gm5217	predicted gene 5217 [Source:MGI Symbol;Acc:MGI:3645016]	1.1251632	
Pgap2	post-GPI attachment to proteins 2 [Source:MGI Symbol;Acc:MGI:2385286]	1.1248337	
Rgs19	regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]	1.1246263	
Pithd1	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:MGI Symbol;Acc:MGI:1913443]	1.1245174	
Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1098274]	1.1245	
Plekhm3	pleckstrin homology domain containing, family M, member 3 [Source:MGI Symbol;Acc:MGI:2443627]	1.1239406	
Zfp597	zinc finger protein 597 [Source:MGI Symbol;Acc:MGI:1918313]	1.1225815	
Kank3	KN motif and ankyrin repeat domains 3 [Source:MGI Symbol;Acc:MGI:1098615]	1.122254	
Mcur1	mitochondrial calcium uniporter regulator 1 [Source:MGI Symbol;Acc:MGI:1923387]	1.1212016	
Mogat1	monoacylglycerol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:1915643]	1.1208396	
Pmm2	phosphomannomutase 2 [Source:MGI Symbol;Acc:MGI:1859214]	1.1206574	
Phf11c	PHD finger protein 11C [Source:MGI Symbol;Acc:MGI:3648476]	1.120419	
Plod1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:99907]	1.1201047	
Brip1os	BRCA1 interacting protein C-terminal helicase 1, opposite strand [Source:MGI Symbol;Acc:MGI:1921288]	1.1199222	
Havcr2	hepatitis A virus cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2159682]	1.1195122	
Arhgap9	Rho GTPase activating protein 9 [Source:MGI Symbol;Acc:MGI:2143764]	1.1193907	
B3galt5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:2136878]	1.1193185	
Skap2	src family associated phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1889206]	1.1184664	
Mrm1	mitochondrial rRNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443470]	1.1168907	
Ccdc69	coiled-coil domain containing 69 [Source:MGI Symbol;Acc:MGI:1196234]	1.1167653	
Stra6l	STRA6-like [Source:MGI Symbol;Acc:MGI:1921402]	1.1167285	
Mtus1	mitochondrial tumor suppressor 1 [Source:MGI Symbol;Acc:MGI:2142572]	1.116625	
Prrg1	proline rich Gla (G-carboxyglutamic acid) 1 [Source:MGI Symbol;Acc:MGI:1917364]	1.1161548	
Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 [Source:MGI Symbol;Acc:MGI:1355323]	1.1159158	
Cmtr1	cap methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1921407]	1.1158744	
Zc3h12d	zinc finger CCCH type containing 12D [Source:MGI Symbol;Acc:MGI:3045313]	1.1157986	
Stk10	serine/threonine kinase 10 [Source:MGI Symbol;Acc:MGI:1099439]	1.1155216	
Gm12537	predicted gene 12537 [Source:MGI Symbol;Acc:MGI:3650720]	1.11472	
H2-DMb2	histocompatibility 2, class II, locus Mb2 [Source:MGI Symbol;Acc:MGI:95923]	1.1146296	
2010008C14Rik	RIKEN cDNA 2010008C14 gene [Source:MGI Symbol;Acc:MGI:1917109]	1.1135212	
Apol7c	apolipoprotein L 7c [Source:MGI Symbol;Acc:MGI:1920912]	1.1118674	
2210417A02Rik	RIKEN cDNA 2210417A02 gene [Source:MGI Symbol;Acc:MGI:1917388]	1.1113166	
Clip2	CAP-GLY domain containing linker protein 2 [Source:MGI Symbol;Acc:MGI:1313136]	1.1112909	
1600020E01Rik	RIKEN cDNA 1600020E01 gene [Source:MGI Symbol;Acc:MGI:1919262]	1.1103162	
Marchf3	membrane associated ring-CH-type finger 3 [Source:MGI Symbol;Acc:MGI:2443667]	1.110046	
Tkt	transketolase [Source:MGI Symbol;Acc:MGI:105992]	1.1088312	
Nfya	nuclear transcription factor-Y alpha [Source:MGI Symbol;Acc:MGI:97316]	1.1087365	
Plod3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:MGI Symbol;Acc:MGI:1347008]	1.1085933	
Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]	1.1080514	
Gm20492	predicted gene 20492 [Source:MGI Symbol;Acc:MGI:5141957]	1.1079811	
Snx1	sorting nexin 1 [Source:MGI Symbol;Acc:MGI:1928395]	1.1079624	
Fth1-ps	ferritin heavy polypeptide 1, pseudogene [Source:MGI Symbol;Acc:MGI:3647597]	1.1075948	
Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2 [Source:MGI Symbol;Acc:MGI:1891456]	1.1074514	
Polm	polymerase (DNA directed), mu [Source:MGI Symbol;Acc:MGI:1860191]	1.1070585	
Rab11fip5	RAB11 family interacting protein 5 (class I) [Source:MGI Symbol;Acc:MGI:1098586]	1.1063596	
Gm15703	predicted gene 15703 [Source:MGI Symbol;Acc:MGI:3783143]	1.1058748	
Tbc1d10b	TBC1 domain family, member 10b [Source:MGI Symbol;Acc:MGI:1915699]	1.1058023	
Trim26	tripartite motif-containing 26 [Source:MGI Symbol;Acc:MGI:1337056]	1.1056136	
Zfp976	zinc finger protein 976 [Source:MGI Symbol;Acc:MGI:3036263]	1.1052021	
Gm26520	predicted gene, 26520 [Source:MGI Symbol;Acc:MGI:5477014]	1.1051675	
Gm9706	predicted gene 9706 [Source:MGI Symbol;Acc:MGI:3780113]	1.1047662	
Socs1	suppressor of cytokine signaling 1 [Source:MGI Symbol;Acc:MGI:1354910]	1.1032475	
Hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like [Source:MGI Symbol;Acc:MGI:1355299]	1.1030908	
9330175E14Rik	RIKEN cDNA 9330175E14 gene [Source:MGI Symbol;Acc:MGI:2443913]	1.1020658	
Crip1	cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]	1.1018431	
Arrdc4	arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]	1.1016877	
Hmox2	heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]	1.1015484	
Gm31814	predicted gene, 31814 [Source:MGI Symbol;Acc:MGI:5590973]	1.1015158	
Mmp19	matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899]	1.1010517	
Nudt16l1	nudix hydrolase 16 like 1 [Source:MGI Symbol;Acc:MGI:1914161]	1.100504	
Gm11772	predicted gene 11772 [Source:MGI Symbol;Acc:MGI:3649468]	1.0999975	
Nsa2-ps1	NSA2 ribosome biogenesis homolog, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3648670]	1.099174	
Tpd52	tumor protein D52 [Source:MGI Symbol;Acc:MGI:107749]	1.099064	
Ttc14	tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370]	1.0985172	
Rab19	RAB19, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:103292]	1.0984129	
Irf2	interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]	1.0981622	
Cd101	CD101 antigen [Source:MGI Symbol;Acc:MGI:2685862]	1.0981447	
Skic2	SKI2 subunit of superkiller complex [Source:MGI Symbol;Acc:MGI:1099835]	1.0980283	
Il1a	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	1.0977683	
Morc3	microrchidia 3 [Source:MGI Symbol;Acc:MGI:2136841]	1.0976768	
Pold1	polymerase (DNA directed), delta 1, catalytic subunit [Source:MGI Symbol;Acc:MGI:97741]	1.0974538	
Impdh2	inosine monophosphate dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:109367]	1.0964043	
Erp29	endoplasmic reticulum protein 29 [Source:MGI Symbol;Acc:MGI:1914647]	1.0963576	
Fth1	ferritin heavy polypeptide 1 [Source:MGI Symbol;Acc:MGI:95588]	1.095274	
Gm35867	predicted gene, 35867 [Source:MGI Symbol;Acc:MGI:5595026]	1.0949383	
Haus8	4HAUS augmin-like complex, subunit 8 [Source:MGI Symbol;Acc:MGI:1923728]	1.0945659	
Ntpcr	nucleoside-triphosphatase, cancer-related [Source:MGI Symbol;Acc:MGI:1913816]	1.0943154	
Cd79a	CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]	1.0939323	
Btg1	BTG anti-proliferation factor 1 [Source:MGI Symbol;Acc:MGI:88215]	1.0937829	
Trim12c	tripartite motif-containing 12C [Source:MGI Symbol;Acc:MGI:4821183]	1.0935286	
Slc25a25	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 [Source:MGI Symbol;Acc:MGI:1915913]	1.0926687	
Btnl12	butyrophilin-like 12 [Source:MGI Symbol;Acc:MGI:5595187]	1.0922444	
Cd1d1	CD1d1 antigen [Source:MGI Symbol;Acc:MGI:107674]	1.0918301	
Ganc	glucosidase, alpha; neutral C [Source:MGI Symbol;Acc:MGI:1923301]	1.0916333	
Dcp1b	decapping mRNA 1B [Source:MGI Symbol;Acc:MGI:2442404]	1.0914876	
Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	1.0907496	
Arid3b	AT rich interactive domain 3B (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1930768]	1.0907037	
Tbk1	TANK-binding kinase 1 [Source:MGI Symbol;Acc:MGI:1929658]	1.0906566	
Zbtb32	zinc finger and BTB domain containing 32 [Source:MGI Symbol;Acc:MGI:1891838]	1.0898337	
Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:MGI Symbol;Acc:MGI:108212]	1.0897051	
5033421B08Rik	RIKEN cDNA 5033421B08 gene [Source:MGI Symbol;Acc:MGI:1923240]	1.0894102	
Clec4b1	C-type lectin domain family 4, member b1 [Source:MGI Symbol;Acc:MGI:1917060]	1.0893365	
Scn1b	sodium channel, voltage-gated, type I, beta [Source:MGI Symbol;Acc:MGI:98247]	1.0887914	
4930447M23Rik	RIKEN cDNA 4930447M23 gene [Source:MGI Symbol;Acc:MGI:1918902]	1.0887101	
Ndel1	nudE neurodevelopment protein 1 like 1 [Source:MGI Symbol;Acc:MGI:1932915]	1.0881627	
Gm28874	predicted gene 28874 [Source:MGI Symbol;Acc:MGI:5579580]	1.0872557	
Gm15542	predicted gene 15542 [Source:MGI Symbol;Acc:MGI:3782990]	1.0870353	
Golgb1	golgi autoantigen, golgin subfamily b, macrogolgin 1 [Source:MGI Symbol;Acc:MGI:1099447]	1.0869321	
Gm46224	predicted gene, 46224 [Source:MGI Symbol;Acc:MGI:5825861]	1.0868783	
Snx8	sorting nexin 8 [Source:MGI Symbol;Acc:MGI:2443816]	1.0868732	
Ppbp	pro-platelet basic protein [Source:MGI Symbol;Acc:MGI:1888712]	1.0866727	
Irak4	interleukin-1 receptor-associated kinase 4 [Source:MGI Symbol;Acc:MGI:2182474]	1.086665	
Mcmbp	minichromosome maintenance complex binding protein [Source:MGI Symbol;Acc:MGI:1920977]	1.0863171	
Chrne	cholinergic receptor, nicotinic, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:87894]	1.0862207	
Gm30382	predicted gene, 30382 [Source:MGI Symbol;Acc:MGI:5589541]	1.0858163	
Gm4827	predicted gene 4827 [Source:MGI Symbol;Acc:MGI:3646707]	1.0858163	
Chst7	carbohydrate (N-acetylglucosamino) sulfotransferase 7 [Source:MGI Symbol;Acc:MGI:1891767]	1.0842506	
Gm13998	predicted gene 13998 [Source:MGI Symbol;Acc:MGI:3651215]	1.084151	
Mapk14	mitogen-activated protein kinase 14 [Source:MGI Symbol;Acc:MGI:1346865]	1.083935	
Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	1.0834591	
Adcy3	adenylate cyclase 3 [Source:MGI Symbol;Acc:MGI:99675]	1.0833325	
Slc17a9	solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]	1.0827847	
Atf7	activating transcription factor 7 [Source:MGI Symbol;Acc:MGI:2443472]	1.0823534	
Sqstm1	sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]	1.0817027	
Kynu	kynureninase [Source:MGI Symbol;Acc:MGI:1918039]	1.0812736	
Apoc1	apolipoprotein C-I [Source:MGI Symbol;Acc:MGI:88053]	1.0806823	
Plagl2	pleiomorphic adenoma gene-like 2 [Source:MGI Symbol;Acc:MGI:1933165]	1.0800742	
Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:MGI Symbol;Acc:MGI:1195256]	1.0800692	
Rnpc3	RNA-binding region (RNP1, RRM) containing 3 [Source:MGI Symbol;Acc:MGI:1914475]	1.0798193	
Stxbp2	syntaxin binding protein 2 [Source:MGI Symbol;Acc:MGI:107370]	1.0795796	
Ncstn	nicastrin [Source:MGI Symbol;Acc:MGI:1891700]	1.07957	
Mob3a	MOB kinase activator 3A [Source:MGI Symbol;Acc:MGI:3050117]	1.0793567	
Tbc1d13	TBC1 domain family, member 13 [Source:MGI Symbol;Acc:MGI:2385326]	1.0789276	
Lap3	leucine aminopeptidase 3 [Source:MGI Symbol;Acc:MGI:1914238]	1.0788039	
2210406H18Rik	RIKEN cDNA 2210406H18 gene [Source:MGI Symbol;Acc:MGI:1917383]	1.0786252	
Ank	progressive ankylosis [Source:MGI Symbol;Acc:MGI:3045421]	1.0780052	
Gm5216	predicted gene 5216 [Source:MGI Symbol;Acc:MGI:3645017]	1.0778389	
Nckipsd	NCK interacting protein with SH3 domain [Source:MGI Symbol;Acc:MGI:1931834]	1.0760899	
Dnase2a	deoxyribonuclease II alpha [Source:MGI Symbol;Acc:MGI:1329019]	1.0757976	
Msl2	MSL complex subunit 2 [Source:MGI Symbol;Acc:MGI:1925103]	1.0757293	
Taf7	TATA-box binding protein associated factor 7 [Source:MGI Symbol;Acc:MGI:1346348]	1.074612	
Fcrl5	Fc receptor-like 5 [Source:MGI Symbol;Acc:MGI:3053558]	1.0743597	
Gm18095	predicted gene, 18095 [Source:MGI Symbol;Acc:MGI:5010280]	1.0734364	
Dera	deoxyribose-phosphate aldolase (putative) [Source:MGI Symbol;Acc:MGI:1913762]	1.0733451	
Ccnt1	cyclin T1 [Source:MGI Symbol;Acc:MGI:1328363]	1.0726146	
